Month,Yield_Pct,BTC_Return_Pct,ETH_Return_Pct,SP500_Return_Pct,Fund_NAV,BTC_NAV,ETH_NAV,SP500_NAV,Cum_Fund_Return_Pct,Cum_BTC_Return_Pct,Cum_ETH_Return_Pct,Cum_SP500_Return_Pct,Asset_Driver,Primary_Venue,Market_Regime
2024-03,1.82,16.6,9.4,3.1,121.1839,347.2427,249.2588,135.7025,21.18,247.24,149.26,35.7,SOL/BTC/XRP,BitMEX/Binance,All-Time High Exuberance
2024-04,1.18,-14.9,-17.5,-4.16,122.6138,295.5035,205.6385,130.0573,22.61,195.5,105.64,30.06,BTC/ETH,BitMEX,Bitcoin Halving Reset
2024-05,1.24,11.1,24.7,4.8,124.1342,328.3044,256.4312,136.3,24.13,228.3,156.43,36.3,ETH/BTC,BitMEX/Binance,ETH ETF Approval News
2024-06,0.95,-7.0,-0.6,3.47,125.3135,305.3231,254.8926,141.0296,25.31,205.32,154.89,41.03,BTC/ETH,BitMEX,Summer Low Volatility
2024-07,1.08,2.9,-5.9,1.13,126.6669,314.1775,239.8539,142.6233,26.67,214.18,139.85,42.62,SOL/BTC,BitMEX/Binance,Spot ETH ETF Launch
2024-08,0.88,-8.7,-22.2,2.28,127.7816,286.8441,186.6064,145.8751,27.78,186.84,86.61,45.88,BTC/ETH,BitMEX,Yen Carry Unwind Vol
2024-09,1.02,7.3,3.4,2.02,129.0849,307.7837,192.951,148.8217,29.08,207.78,92.95,48.82,SOL/BTC,BitMEX/Binance,Fed Rate Cut Cycle
2024-10,1.26,10.8,3.6,-0.99,130.7114,341.0243,199.8972,147.3484,30.71,241.02,99.9,47.35,BTC/SOL,BitMEX/Binance,Uptober Basis Widening
2024-11,1.95,37.3,43.1,5.73,133.2603,468.2264,286.0529,155.7915,33.26,368.23,186.05,55.79,XRP/SOL/BTC,BitMEX/Binance,Post-Election Super-Basis
2024-12,1.76,-1.2,3.8,-2.5,135.6057,462.6077,296.9229,151.8967,35.61,362.61,196.92,51.9,XRP/SOL/BTC,BitMEX/Binance,Year-End Institutional Inflows
2025-01,1.45,8.5,6.2,2.7,137.5719,501.9293,315.3322,155.9979,37.57,401.93,215.33,56.0,BTC/ETH/SOL,BitMEX/Binance,Inauguration / Pro-Crypto Policy
2025-02,1.32,4.2,2.8,1.4,139.3879,523.0103,324.1615,158.1819,39.39,423.01,224.16,58.18,SOL/XRP,BitMEX/Kraken,Altcoin Rotation
2025-03,1.15,-3.8,-4.5,-1.1,140.9908,503.1359,309.5742,156.4419,40.99,403.14,209.57,56.44,BTC/ETH,BitMEX/Binance,Quarter-End Rebalance
2025-04,1.22,5.4,7.1,1.85,142.7109,530.3053,331.554,159.336,42.71,430.31,231.55,59.34,ETH/SOL,BitMEX/Binance,DeFi Basis Expansion
2025-05,1.1,2.1,1.4,2.1,144.2808,541.4417,336.1957,162.6821,44.28,441.44,236.2,62.68,BTC/SOL,BitMEX/Kraken,Steady Harvest
2025-06,1.05,-2.0,-3.1,0.8,145.7957,530.6129,325.7736,163.9836,45.8,430.61,225.77,63.98,BTC/ETH,BitMEX,Summer Range
2025-07,1.18,6.3,4.8,1.95,147.5161,564.0415,341.4108,167.1812,47.52,464.04,241.41,67.18,SOL/XRP,BitMEX/Kraken,Institutional Expansion
2025-08,1.02,1.5,0.9,-0.6,149.0208,572.5021,344.4835,166.1781,49.02,472.5,244.48,66.18,BTC/ETH,BitMEX,Macro Stability
2025-09,0.96,2.4,1.8,1.2,150.4514,586.2421,350.6842,168.1723,50.45,486.24,250.68,68.17,BTC/ETH,BitMEX,Autumn Basis Baseline
2025-10,1.35,14.2,12.0,2.3,152.4825,669.4885,392.7663,172.0402,52.48,569.49,292.77,72.04,BTC/SOL/XRP,BitMEX/Kraken,Q4 Basis Surge
2025-11,1.48,11.5,15.2,3.1,154.7392,746.4797,452.4668,177.3735,54.74,646.48,352.47,77.37,SOL/XRP,BitMEX/Kraken,High Yield Harvesting
2025-12,1.3,3.0,4.1,0.9,156.7508,768.8741,471.0179,178.9699,56.75,668.87,371.02,78.97,BTC/ETH,BitMEX/Binance,Year-End Spread Capture
2026-01,1.14,4.8,3.2,1.4,158.5378,805.7801,486.0905,181.4754,58.54,705.78,386.09,81.48,BTC/SOL,BitMEX/Binance,New Year Reallocation
2026-02,1.08,2.1,1.7,1.1,160.25,822.7014,494.354,183.4717,60.25,722.7,394.35,83.47,BTC/ETH,BitMEX,Steady Execution
2026-03,1.12,5.0,6.2,2.2,162.0448,863.8365,525.004,187.508,62.04,763.84,425.0,87.51,SOL/XRP,BitMEX/Kraken,Multi-Venue Arbitrage
2026-04,0.98,-1.5,-2.0,-0.8,163.6328,850.879,514.5039,186.008,63.63,750.88,414.5,86.01,BTC/ETH,BitMEX,Rangebound Harvest
2026-05,1.05,3.4,2.9,1.5,165.351,879.8088,529.4245,188.7981,65.35,779.81,429.42,88.8,BTC/SOL,BitMEX/Binance,Orderly De-risking
2026-06,0.92,-3.2,-4.0,0.6,166.8722,851.655,508.2475,189.9309,66.87,751.65,408.25,89.93,BTC/ETH,BitMEX,Wind-down Preparation
2026-07,0.88,1.2,0.8,1.1,168.3407,861.8748,512.3135,192.0201,68.34,761.87,412.31,92.02,BTC/USD,BitMEX,BitMEX Closure & Final Capital Return
